AGI code	Annotation
AT1G11100	 ATP binding / ATP-dependent helicase/ DNA binding / helicase/ nucleic acid binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G11190	 BFN1 (BIFUNCTIONAL NUCLEASE I); nucleic acid binding [Arabidopsis thaliana] 
AT1G11475	 DNA-directed RNA polymerase [Arabidopsis thaliana] 
AT1G11490	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G11800	 hydrolase [Arabidopsis thaliana] 
AT1G11840	 ATGLX1 (GLYOXALASE I HOMOLOG); lactoylglutathione lyase [Arabidopsis thaliana] 
AT1G12440	 DNA binding / zinc ion binding [Arabidopsis thaliana] 
AT1G12760	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G13170	 oxysterol binding [Arabidopsis thaliana] 
AT1G13195	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G13270	 MAP1C (METHIONINE AMINOPEPTIDASE 1B); metalloexopeptidase [Arabidopsis thaliana] 
AT1G13290	 transcription factor [Arabidopsis thaliana] 
AT1G13400	 nucleic acid binding / zinc ion binding [Arabidopsis thaliana] 
AT1G13635	 DNA-3-methyladenine glycosylase I/ catalytic [Arabidopsis thaliana] 
AT1G13750	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT1G13790	 unknown protein [Arabidopsis thaliana] 
AT1G13900	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT1G13960	 WRKY4; transcription factor [Arabidopsis thaliana] 
AT1G14060	 unknown protein [Arabidopsis thaliana] 
AT1G14200	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G14260	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G14270	 prenyl-dependent CAAX protease [Arabidopsis thaliana] 
AT1G14440	 transcription factor [Arabidopsis thaliana] 
AT1G14460	 nucleoside-triphosphatase/ nucleotide binding [Arabidopsis thaliana] 
AT1G14510	 DNA binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G14580	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G14610	 TWN2 (TWIN 2); ATP binding / tRNA ligase/ valine-tRNA ligase [Arabidopsis thaliana] 
AT1G14680	 unknown protein [Arabidopsis thaliana] 
AT1G14685	 unknown protein [Arabidopsis thaliana] 
AT1G14687	 transcription factor [Arabidopsis thaliana] 
AT1G14700	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT1G15100	 RHA2A; protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G15250	 structural constituent of ribosome [Arabidopsis thaliana] 
AT1G15380	 lactoylglutathione lyase [Arabidopsis thaliana] 
AT1G15430	 unknown protein [Arabidopsis thaliana] 
AT1G15910	 unknown protein [Arabidopsis thaliana] 
AT1G15960	 NRAMP6; metal ion transporter [Arabidopsis thaliana] 
AT1G15970	 DNA-3-methyladenine glycosylase I [Arabidopsis thaliana] 
AT1G16310	 cation transporter [Arabidopsis thaliana] 
AT1G16680	 heat shock protein binding / unfolded protein binding [Arabidopsis thaliana] 
AT1G16710	 transcription cofactor/ zinc ion binding [Arabidopsis thaliana] 
AT1G17110	 UBP15 (UBIQUITIN-SPECIFIC PROTEASE 15); cysteine-type endopeptidase/ ubiquitin thiolesterase/ ubiquitin-specific protease [Arabidopsis thaliana] 
AT1G17145	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G17210	 unknown protein [Arabidopsis thaliana] 
AT1G17770	 SUVH7 (SU(VAR)3-9 HOMOLOG 7); histone-lysine N-methyltransferase/ zinc ion binding [Arabidopsis thaliana] 
AT1G17960	 ATP binding / tRNA ligase/ threonine-tRNA ligase [Arabidopsis thaliana] 
