AGI code	Annotation
AT1G66140	 ZFP4 (ZINC FINGER PROTEIN 4); nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G66170	 MMD1 (MALE MEIOCYTE DEATH 1); DNA binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G66440	 unknown protein [Arabidopsis thaliana] 
AT1G66450	 unknown protein [Arabidopsis thaliana] 
AT1G66500	 unknown protein [Arabidopsis thaliana] 
AT1G66610	 unknown protein [Arabidopsis thaliana] 
AT1G66620	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G66630	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G66650	 unknown protein [Arabidopsis thaliana] 
AT1G66660	 unknown protein [Arabidopsis thaliana] 
AT1G66810	 nucleic acid binding [Arabidopsis thaliana] 
AT1G67030	 ZFP6 (ZINC FINGER PROTEIN 6); nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G67070	 DIN9 (DARK INDUCIBLE 9); mannose-6-phosphate isomerase/ zinc ion binding [Arabidopsis thaliana] 
AT1G67180	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G67210	 nucleic acid binding [Arabidopsis thaliana] 
AT1G67220	 DNA binding / protein binding / transcription cofactor/ zinc ion binding [Arabidopsis thaliana] 
AT1G67280	 lactoylglutathione lyase [Arabidopsis thaliana] 
AT1G67340	 unknown protein [Arabidopsis thaliana] 
AT1G67440	 EMB1688; ATP binding / GTP binding / GTPase [Arabidopsis thaliana] 
AT1G67460	 GTP binding / GTPase [Arabidopsis thaliana] 
AT1G67500	 ATREV3; DNA binding [Arabidopsis thaliana] 
AT1G67550	 hydrolase/ nickel ion binding / urease [Arabidopsis thaliana] 
AT1G67690	 metalloendopeptidase [Arabidopsis thaliana] 
AT1G68030	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G68070	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G68100	 IAR1 (IAA-ALANINE RESISTANT 1); metal ion transporter [Arabidopsis thaliana] 
AT1G68120	 unknown protein [Arabidopsis thaliana] 
AT1G68130	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G68140	 unknown protein [Arabidopsis thaliana] 
AT1G68150	 WRKY9; transcription factor [Arabidopsis thaliana] 
AT1G68180	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G68200	 nucleic acid binding / transcription factor [Arabidopsis thaliana] 
AT1G68290	 endonuclease/ nucleic acid binding [Arabidopsis thaliana] 
AT1G68360	 transcription factor [Arabidopsis thaliana] 
AT1G68480	 JAG; nucleic acid binding / zinc ion binding [Arabidopsis thaliana] 
AT1G68720	 hydrolase/ zinc ion binding [Arabidopsis thaliana] 
AT1G68730	 unknown protein [Arabidopsis thaliana] 
AT1G68820	 unknown protein [Arabidopsis thaliana] 
AT1G69150	 unknown protein [Arabidopsis thaliana] 
AT1G69170	 DNA binding / transcription factor [Arabidopsis thaliana] 
AT1G69310	 WRKY57; transcription factor [Arabidopsis thaliana] 
AT1G69330	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G69420	 metal ion binding [Arabidopsis thaliana] 
AT1G69570	 DNA binding / transcription factor [Arabidopsis thaliana] 
AT1G69600	 transcription factor [Arabidopsis thaliana] 
AT1G69710	 Ran GTPase binding / chromatin binding / zinc ion binding [Arabidopsis thaliana] 
AT1G69740	 porphobilinogen synthase [Arabidopsis thaliana] 
AT1G69810	 WRKY36; transcription factor [Arabidopsis thaliana] 
AT1G69960	 PP2A (SERINE/THREONINE PROTEIN PHOSPHATASE 2A); protein phosphatase type 2A [Arabidopsis thaliana] 
AT1G70000	 nucleic acid binding / transcription factor [Arabidopsis thaliana] 
AT1G70150	 unknown protein [Arabidopsis thaliana] 
AT1G70170	 MMP (MATRIX METALLOPROTEINASE); metalloendopeptidase/ metallopeptidase/ zinc ion binding [Arabidopsis thaliana] 
AT1G70410	 carbonate dehydratase/ zinc ion binding [Arabidopsis thaliana] 
AT1G70640	 unknown protein [Arabidopsis thaliana] 
AT1G70650	 binding [Arabidopsis thaliana] 
AT1G70730	" intramolecular transferase, phosphotransferases / phosphoglucomutase [Arabidopsis thaliana] "
AT1G70820	" intramolecular transferase, phosphotransferases [Arabidopsis thaliana] "
AT1G70910	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G71010	 1-phosphatidylinositol-4-phosphate 5-kinase/ ATP binding / protein binding [Arabidopsis thaliana] 
AT1G71050	 metal ion binding [Arabidopsis thaliana] 
AT1G71230	 AJH2 [Arabidopsis thaliana] 
AT1G71696	 SOL1 (SOL1 SPLICE VARIANT A1B1); carboxypeptidase A [Arabidopsis thaliana] 
AT1G71980	 peptidase/ protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G72050	 nucleic acid binding / zinc ion binding [Arabidopsis thaliana] 
AT1G72175	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G72200	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G72220	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G72310	 ATL3; protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G72680	" oxidoreductase/ oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor / zinc ion binding [Arabidopsis thaliana] "
AT1G73100	 SUVH3 (SU(VAR)3-9 HOMOLOG 3) [Arabidopsis thaliana] 
AT1G73760	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G73950	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G74250	 heat shock protein binding / nucleic acid binding / unfolded protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G74370	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G74410	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G74620	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G74660	 transcription factor [Arabidopsis thaliana] 
AT1G74700	 NUZ [Arabidopsis thaliana] 
AT1G74760	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G74870	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G74990	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G75090	 DNA-3-methyladenine glycosylase I [Arabidopsis thaliana] 
AT1G75240	 transcription factor [Arabidopsis thaliana] 
AT1G75340	 nucleic acid binding [Arabidopsis thaliana] 
AT1G75560	 nucleic acid binding [Arabidopsis thaliana] 
AT1G75660	 XRN3; 5'-3' exoribonuclease/ exonuclease/ nucleic acid binding [Arabidopsis thaliana] 
AT1G75710	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G76320	 unknown protein [Arabidopsis thaliana] 
AT1G76410	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G76560	 unknown protein [Arabidopsis thaliana] 
AT1G76950	 Ran GTPase binding / chromatin binding / zinc ion binding [Arabidopsis thaliana] 
AT1G77120	 ADH1 (ALCOHOL DEHYDROGENASE 1); alcohol dehydrogenase [Arabidopsis thaliana] 
AT1G77250	 DNA binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G77300	 unknown protein [Arabidopsis thaliana] 
AT1G77770	 unknown protein [Arabidopsis thaliana] 
AT1G77800	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G77840	 translation initiation factor [Arabidopsis thaliana] 
AT1G78420	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G79110	 unknown protein [Arabidopsis thaliana] 
AT1G79350	 EMB1135; ATP binding / DNA binding / helicase/ nucleic acid binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G79520	 cation transporter [Arabidopsis thaliana] 
AT1G79560	 EMB1047/FTSH12; ATP-dependent peptidase/ ATPase/ metallopeptidase [Arabidopsis thaliana] 
AT1G79770	 unknown protein [Arabidopsis thaliana] 
AT1G79810	 TED3 (REVERSAL OF THE DET PHENOTYPE); protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G80030	 heat shock protein binding / unfolded protein binding [Arabidopsis thaliana] 
AT1G80160	 lactoylglutathione lyase [Arabidopsis thaliana] 
AT1G80220	 unknown protein [Arabidopsis thaliana] 
AT1G80400	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G80730	 ZFP1; nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G80790	 unknown protein [Arabidopsis thaliana] 
AT1G80830	 NRAMP1; manganese ion transporter/ metal ion transporter [Arabidopsis thaliana] 
AT1G80840	 WRKY40; transcription factor [Arabidopsis thaliana] 
AT1G80850	 DNA-3-methyladenine glycosylase I [Arabidopsis thaliana] 
AT2G01050	 nucleic acid binding [Arabidopsis thaliana] 
AT2G01150	 RHA2B (RING-H2 FINGER PROTEIN 2B); protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G01275	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G01280	 RNA polymerase II transcription factor/ cation:chloride symporter [Arabidopsis thaliana] 
AT2G01730	 ATCPSF73-II; catalytic [Arabidopsis thaliana] 
AT2G01735	 RIE1 (RING-FINGER PROTEIN FOR EMBRYOGENESIS); ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G01810	 DNA binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G01880	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT2G01890	 PAP8 (PURPLE ACID PHOSPHATASE PRECURSOR); protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT2G01930	 unknown protein [Arabidopsis thaliana] 
AT2G01940	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT2G02070	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT2G02080	 transcription factor [Arabidopsis thaliana] 
AT2G02160	 nucleic acid binding [Arabidopsis thaliana] 
AT2G02470	 DNA binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G02480	 STI (STICHEL) [Arabidopsis thaliana] 
AT2G02540	 transcription factor [Arabidopsis thaliana] 
AT2G02610	 unknown protein [Arabidopsis thaliana] 
AT2G02620	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G02630	 unknown protein [Arabidopsis thaliana] 
AT2G02640	 unknown protein [Arabidopsis thaliana] 
AT2G02680	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G02690	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G02700	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G02960	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G03000	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G03140	 prenyl-dependent CAAX protease [Arabidopsis thaliana] 
AT2G03230	 unknown protein [Arabidopsis thaliana] 
AT2G03340	 WRKY3; transcription factor [Arabidopsis thaliana] 
AT2G03450	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT2G03820	 unknown protein [Arabidopsis thaliana] 
AT2G04032	 cation transporter/ metal ion transporter/ zinc ion transporter [Arabidopsis thaliana] 
AT2G04240	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G04500	 unknown protein [Arabidopsis thaliana] 
AT2G04530	 CPZ [Arabidopsis thaliana] 
AT2G04620	 cation transporter/ efflux permease [Arabidopsis thaliana] 
AT2G04680	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G04842	 ATP binding / tRNA ligase/ threonine-tRNA ligase [Arabidopsis thaliana] 
AT2G04880	 ZAP1; transcription factor/ transcriptional activator [Arabidopsis thaliana] 
AT2G05160	 RNA binding / nucleic acid binding [Arabidopsis thaliana] 
AT2G05170	 ATVPS11; transporter [Arabidopsis thaliana] 
AT2G05230	 heat shock protein binding / unfolded protein binding [Arabidopsis thaliana] 
AT2G05250	 heat shock protein binding / unfolded protein binding [Arabidopsis thaliana] 
AT2G05900	 histone-lysine N-methyltransferase/ zinc ion binding [Arabidopsis thaliana] 
AT2G06845	 unknown protein [Arabidopsis thaliana] 
AT2G06904	 nucleic acid binding [Arabidopsis thaliana] 
AT2G07760	 nucleic acid binding [Arabidopsis thaliana] 
AT2G12880	 nucleic acid binding [Arabidopsis thaliana] 
AT2G13450	 unknown protein [Arabidopsis thaliana] 
AT2G13840	 DNA binding / DNA-directed DNA polymerase [Arabidopsis thaliana] 
AT2G13900	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G13950	 unknown protein [Arabidopsis thaliana] 
AT2G14835	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G15180	 nucleic acid binding [Arabidopsis thaliana] 
AT2G15260	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G15530	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G15580	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G15740	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT2G15910	 unknown protein [Arabidopsis thaliana] 
AT2G16090	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G16430	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT2G16470	 nucleic acid binding [Arabidopsis thaliana] 
AT2G16676	 unknown protein [Arabidopsis thaliana] 
AT2G17180	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT2G17260	 GLR2 (GLUTAMATE RECEPTOR 2) [Arabidopsis thaliana] 
AT2G17450	 RHA3A; protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G17590	 unknown protein [Arabidopsis thaliana] 
AT2G17600	 unknown protein [Arabidopsis thaliana] 
AT2G17730	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G17740	 unknown protein [Arabidopsis thaliana] 
AT2G17870	 DNA binding / nucleic acid binding [Arabidopsis thaliana] 
AT2G17900	 SDG37 [Arabidopsis thaliana] 
AT2G17920	 unknown protein [Arabidopsis thaliana] 
AT2G17975	 binding [Arabidopsis thaliana] 
AT2G18090	 DNA binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G18130	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT2G18350	 transcription factor [Arabidopsis thaliana] 
AT2G18490	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT2G18650	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G18670	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G19260	 DNA binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G19380	 RNA binding / nucleic acid binding / zinc ion binding [Arabidopsis thaliana] 
AT2G19385	 nucleic acid binding / zinc ion binding [Arabidopsis thaliana] 
AT2G19570	 CDA1 (CYTIDINE DEAMINASE 1) [Arabidopsis thaliana] 
AT2G19610	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G19650	 unknown protein [Arabidopsis thaliana] 
AT2G19660	 unknown protein [Arabidopsis thaliana] 
AT2G19810	 nucleic acid binding / transcription factor [Arabidopsis thaliana] 
AT2G20030	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G20280	 nucleic acid binding [Arabidopsis thaliana] 
AT2G20650	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G20725	 prenyl-dependent CAAX protease [Arabidopsis thaliana] 
AT2G21060	 ATGRP2B (GLYCINE-RICH PROTEIN 2B); DNA binding / nucleic acid binding [Arabidopsis thaliana] 
AT2G21240	 unknown protein [Arabidopsis thaliana] 
AT2G21420	 unknown protein [Arabidopsis thaliana] 
AT2G21630	 protein binding / transporter [Arabidopsis thaliana] 
AT2G21730	 oxidoreductase/ zinc ion binding [Arabidopsis thaliana] 
AT2G21770	" CESA9 (CELLULASE SYNTHASE 9); transferase, transferring glycosyl groups [Arabidopsis thaliana] "
AT2G21810	 unknown protein [Arabidopsis thaliana] 
AT2G21830	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G21850	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G21890	 oxidoreductase/ zinc ion binding [Arabidopsis thaliana] 
AT2G21900	 WRKY59; transcription factor [Arabidopsis thaliana] 
AT2G22010	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G22120	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G22310	 ATUBP4 (UBIQUITIN-SPECIFIC PROTEASE 4); ubiquitin-specific protease [Arabidopsis thaliana] 
AT2G22360	 heat shock protein binding / unfolded protein binding [Arabidopsis thaliana] 
AT2G22680	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G22690	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G22740	 SUVH6 [Arabidopsis thaliana] 
AT2G23100	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G23150	 NRAMP3; manganese ion transporter/ metal ion transporter [Arabidopsis thaliana] 
AT2G23320	 WRKY15; transcription factor [Arabidopsis thaliana] 
AT2G23740	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT2G23780	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G24200	 aminopeptidase [Arabidopsis thaliana] 
AT2G24240	 protein binding / voltage-gated potassium channel [Arabidopsis thaliana] 
AT2G24395	 unknown protein [Arabidopsis thaliana] 
AT2G24480	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G24500	 FZF; transcription factor [Arabidopsis thaliana] 
AT2G24570	 WRKY17; transcription factor [Arabidopsis thaliana] 
AT2G24590	 nucleic acid binding [Arabidopsis thaliana] 
AT2G24640	 cysteine-type endopeptidase/ ubiquitin thiolesterase [Arabidopsis thaliana] 
AT2G24710	 ATGLR2.3 [Arabidopsis thaliana] 
AT2G24720	 ATGLR2.2 [Arabidopsis thaliana] 
AT2G24740	 SDG21 (SET DOMAIN GROUP 21) [Arabidopsis thaliana] 
AT2G24830	 nucleic acid binding [Arabidopsis thaliana] 
AT2G24860	 unknown protein [Arabidopsis thaliana] 
AT2G25000	 WRKY60; transcription factor [Arabidopsis thaliana] 
AT2G25170	 PKL (PICKLE) [Arabidopsis thaliana] 
AT2G25360	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G25370	 unknown protein [Arabidopsis thaliana] 
AT2G25410	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G25540	" CESA10 (CELLULASE SYNTHASE 10); transferase, transferring glycosyl groups [Arabidopsis thaliana] "
AT2G25560	 heat shock protein binding / unfolded protein binding [Arabidopsis thaliana] 
AT2G25900	 ATCTH; transcription factor [Arabidopsis thaliana] 
AT2G25910	 3'-5' exonuclease/ nucleic acid binding [Arabidopsis thaliana] 
AT2G26000	 catalytic/ ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G26050	 unknown protein [Arabidopsis thaliana] 
AT2G26130	 unknown protein [Arabidopsis thaliana] 
AT2G26135	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G26140	 FTSH4; ATP-dependent peptidase/ ATPase/ metallopeptidase [Arabidopsis thaliana] 
AT2G26350	 PEX10; protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G26695	 binding [Arabidopsis thaliana] 
AT2G26800	 catalytic/ hydroxymethylglutaryl-CoA lyase [Arabidopsis thaliana] 
AT2G26940	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT2G27110	 unknown protein [Arabidopsis thaliana] 
AT2G27210	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT2G27340	 unknown protein [Arabidopsis thaliana] 
AT2G27460	 protein binding / transporter [Arabidopsis thaliana] 
AT2G27580	 DNA binding / zinc ion binding [Arabidopsis thaliana] 
AT2G27630	 cysteine-type endopeptidase/ ubiquitin thiolesterase [Arabidopsis thaliana] 
AT2G27660	 unknown protein [Arabidopsis thaliana] 
AT2G27940	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G27980	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G28190	" CSD2 (COPPER/ZINC SUPEROXIDE DISMUTASE 2); copper, zinc superoxide dismutase [Arabidopsis thaliana] "
AT2G28200	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT2G28210	 carbonate dehydratase/ zinc ion binding [Arabidopsis thaliana] 
AT2G28270	 unknown protein [Arabidopsis thaliana] 
AT2G28340	 transcription factor [Arabidopsis thaliana] 
AT2G28420	 lactoylglutathione lyase [Arabidopsis thaliana] 
AT2G28450	 nucleic acid binding [Arabidopsis thaliana] 
AT2G28510	 DNA binding / transcription factor [Arabidopsis thaliana] 
AT2G28540	 nucleic acid binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G28710	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT2G28810	 DNA binding / transcription factor [Arabidopsis thaliana] 
AT2G28910	 CXIP4 (CAX INTERACTING PROTEIN 4); nucleic acid binding [Arabidopsis thaliana] 
AT2G28920	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G29080	 FTSH3; ATP-dependent peptidase/ ATPase [Arabidopsis thaliana] 
AT2G29100	 ATGLR2.9 [Arabidopsis thaliana] 
AT2G29110	 ATGLR2.8 [Arabidopsis thaliana] 
AT2G29120	 ATGLR2.7 [Arabidopsis thaliana] 
AT2G29400	 TOPP1 (TYPE ONE PROTEIN PHOSPHATASE 1); protein phosphatase type 1 [Arabidopsis thaliana] 
AT2G29410	 MTPB1; efflux permease/ zinc ion transporter [Arabidopsis thaliana] 
AT2G29530	 TIM10; protein translocase [Arabidopsis thaliana] 
AT2G29580	 RNA binding / nucleic acid binding [Arabidopsis thaliana] 
AT2G29660	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT2G30000	 unknown protein [Arabidopsis thaliana] 
AT2G30080	 ZIP6; cation transporter [Arabidopsis thaliana] 
AT2G30250	 WRKY25; transcription factor [Arabidopsis thaliana] 
AT2G30470	 HSI2; transcription factor/ transcriptional repressor [Arabidopsis thaliana] 
AT2G30580	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G30590	 WRKY21; transcription factor [Arabidopsis thaliana] 
AT2G30950	 VAR2 (VARIEGATED 2); ATP-dependent peptidase/ ATPase/ metallopeptidase/ zinc ion binding [Arabidopsis thaliana] 
AT2G31170	 ATP binding / cysteine-tRNA ligase [Arabidopsis thaliana] 
AT2G31320	 DNA binding / NAD+ ADP-ribosyltransferase [Arabidopsis thaliana] 
AT2G31350	 hydroxyacylglutathione hydrolase [Arabidopsis thaliana] 
AT2G31510	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G31650	 DNA binding / nucleic acid binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G31760	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G31770	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G31970	 RAD50; ATP binding / nuclease/ zinc ion binding [Arabidopsis thaliana] 
AT2G32000	 DNA binding / DNA topoisomerase/ DNA topoisomerase type I/ nucleic acid binding [Arabidopsis thaliana] 
AT2G32090	 lactoylglutathione lyase [Arabidopsis thaliana] 
AT2G32250	 unknown protein [Arabidopsis thaliana] 
AT2G32270	 ZIP3; zinc ion transporter [Arabidopsis thaliana] 
AT2G32390	 ATGLR3.5 (GLUTAMATE RECEPTOR 6) [Arabidopsis thaliana] 
AT2G32400	 GLR5 [Arabidopsis thaliana] 
AT2G32480	 metalloendopeptidase/ protein binding [Arabidopsis thaliana] 
AT2G32770	 acid phosphatase/ hydrolase [Arabidopsis thaliana] 
AT2G32780	 cysteine-type endopeptidase/ ubiquitin thiolesterase/ ubiquitin-specific protease [Arabidopsis thaliana] 
AT2G32930	 ZFN2 (ZINC FINGER PROTEIN 2); nucleic acid binding [Arabidopsis thaliana] 
AT2G32950	 COP1 (CONSTITUTIVE PHOTOMORPHOGENIC 1) [Arabidopsis thaliana] 
AT2G33290	 SUVH2 (SU(VAR)3-9 HOMOLOG 2) [Arabidopsis thaliana] 
AT2G33500	 zinc ion binding [Arabidopsis thaliana] 
AT2G33640	 metal ion binding [Arabidopsis thaliana] 
AT2G33810	 SPL3 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 3); transcription factor [Arabidopsis thaliana] 
AT2G33835	 nucleic acid binding [Arabidopsis thaliana] 
AT2G34000	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G34140	 DNA binding / transcription factor [Arabidopsis thaliana] 
AT2G34200	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G34230	 unknown protein [Arabidopsis thaliana] 
AT2G34830	 WRKY35; transcription factor [Arabidopsis thaliana] 
AT2G34860	 unknown protein [Arabidopsis thaliana] 
AT2G34880	 transcription factor [Arabidopsis thaliana] 
AT2G34920	 unknown protein [Arabidopsis thaliana] 
AT2G34990	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G35000	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G35160	 SUVH5 (SU(VAR)3-9 HOMOLOG 5) [Arabidopsis thaliana] 
AT2G35210	 ATP binding / DNA binding [Arabidopsis thaliana] 
AT2G35420	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G35430	 transcription factor [Arabidopsis thaliana] 
AT2G35540	 heat shock protein binding / unfolded protein binding [Arabidopsis thaliana] 
AT2G35550	 unknown protein [Arabidopsis thaliana] 
AT2G35910	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G36110	 3'-5' exonuclease/ nucleic acid binding [Arabidopsis thaliana] 
AT2G36170	 protein binding / structural constituent of ribosome [Arabidopsis thaliana] 
AT2G36305	 prenyl-dependent CAAX protease [Arabidopsis thaliana] 
AT2G36320	 DNA binding / zinc ion binding [Arabidopsis thaliana] 
AT2G36480	 unknown protein [Arabidopsis thaliana] 
AT2G36720	 DNA binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT2G36930	 nucleic acid binding / zinc ion binding [Arabidopsis thaliana] 
AT2G37110	 unknown protein [Arabidopsis thaliana] 
AT2G37150	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT2G37340	 RSZ33; nucleic acid binding [Arabidopsis thaliana] 
