AGI code	Short name	Localization	Fe-S cluster type	Full name annotation
AT5G63290	HemN	Mitochondria (P)	[4Fe-4S]b	Coproporphyrinogen oxidase-related; radical SAM enzyme; uncharacterized. 
AT4G19540	INDH*	Mitochondria	[4Fe-4S]b	"Homologue of IND1, Iron-sulfur protein required for NADH Dehydrogenase "
AT4G13430	IPMI (IIL1)	Plastids	[4Fe-4S]b	"3-isopropylmalate isomerase or IPM dehydratase, the 2nd step in leucine biosynthesis. Also involved in glucosinolate biosynthesis in Arabidopsis. "
AT1G10500	SUFA/CpIscA*	Plastids Mitochondria (P)	[4Fe-4S]	IscA1 / SufA Fe-S carrier protein
AT2G16710	ISCA2/ISA1*	Plastids Mitochondria (P)	[4Fe-4S]	IscA1 / SufA Fe-S carrier protein
AT2G36260	ISCA(SUFA)-like*	Plastids Mitochondria (P)	[4Fe-4S]	IscA1 / SufA Fe-S carrier protein 
AT5G03905	ISCA4*	Plastids Mitochondria (P)	[4Fe-4S]	IscA1 / SufA Fe-S carrier protein  
AT5G60600	ISPG	Plastids	[4Fe-4S]	"4-hydroxy-3-methylbut-2-enyl diphosphate synthase, involved in isoprenoid biosynthesis "
AT4G22220	ISU1/IscU1*	Mitochondria	[4Fe-4S]	Iron-sulfur scaffold protein 
AT3G01020	ISU2*	Mitochondria	[4Fe-4S]	Iron-sulfur scaffold protein 
AT4G04080	ISU3*	Mitochondria	[4Fe-4S]	Iron-sulfur scaffold protein 
AT2G20860	LIP1	Mitochondria	2x[4Fe-4S]	Lipoic acid synthase; radical SAM enzyme 
AT5G08415	LIP1p	Plastids	2x[4Fe-4S]	Lipoic acid synthase; radical SAM enzyme 
AT4G36390	MIAB	Mito/Plastids (P)	2x[4Fe-4S]	Homologue of E.coli MiaB; radical SAM enzyme 
AT5G51720	MitoNEET	"Mitochondria, inter membrane space (P)"	"[2Fe-2S]b, with 3 Cys and 1 His ligands"	Homologue of human MitoNEET; uncharacterized in Arabidopsis 
AT1G08060	MOM1/MOM	Nucleus	[2Fe-2S]	Transcriptional silencer
AT1G72090	MTAB	"Cytosol, endoplasmic reticulum "	2x[4Fe-4S]	"Methylthiotransferase, involved in tRNA methylthiolation"
AT4G16440	NAR1/GOLLUM*	Cytosol	2x[4Fe-4S]b	[FeFe]-hydrogenase-like protein involved in the assembly of cytosolic/nuclear Fe-S proteins  
AT5G50960	NBP35*	Cytosol	stable [4Fe-4S] and labile bridged [4Fe-4S]	Nucleotide-binding protein 35 kDa; Fe-S scaffold 
ATCG01090	NdhI	Plastids	2x[4Fe-4S]	NAD(P)H dehydrogenase complex 
ATCG00430	NdhK	Plastids	[4Fe-4S]	NAD(P)H dehydrogenase complex 
AT4G01940	NFU1*	Plastids	[2Fe-2S]or [4Fe-4S]	"NifU-like protein, functioning as Fe-S scaffold protein or Fe-S carrier protein "
AT5G49940	NFU2/CnfU*	Plastids	[2Fe-2S]or [4Fe-4S]	"NifU-like protein, functioning as Fe-S scaffold protein or Fe-S carrier protein "
AT4G25910	NFU3*	Plastids	[2Fe-2S]or [4Fe-4S]	"NifU-like protein, functioning as Fe-S scaffold protein or Fe-S carrier protein "
AT3G20970	NFU4/NFU-III*	Mitochondria	[2Fe-2S]or [4Fe-4S]	"NifU-like protein, functioning as Fe-S scaffold protein or Fe-S carrier protein "
AT1G51390	NFU5*	Mitochondria	[2Fe-2S] or [4Fe-4S]	"NifU-like protein, functioning as Fe-S scaffold protein or Fe-S carrier protein "
AT2G15620	NIR1	Plastids	"[4Fe-4S], sirohaem"	Nitrite reductase 
AT2G31450	NTH1	Nucleus	[4Fe-4S]b	Endonuclease III homologue 
AT3G44880	PAO	Plastids	Rieske [2Fe-2S]	"Pheophorbide a oxygenase, involved in chlorophyll breakdown. Other names: LLS1,ACD1  "
AT4G03280	PetC	"Plastid, thylakoids"	Rieske [2Fe-2S]	Rieske protein of cytochrome b6f complex 
AT1G08260	POL2A(TIL1)	Nucleus	[4Fe-4S]b	DNA polymerase epsilon catalytic subunit
AT2G27120	POL2B	Nucleus	[4Fe-4S]b	A protein with similarity to DNA polymerase epsilon catalytic subunit
AT5G67100	POLA1(ICU2)	Nucleus	[4Fe-4S]b	Putative catalytic subunit of the DNA polymerase alpha
AT5G63960	POLD1(GIS5)	Nucleus	[4Fe-4S]b	Catalytic subunits of DNA polymerase _
ATCG00350	PsaA	"Plastid,thylakoids"	"[4Fe-4S] bridged between psaA andpsaB, known as FX"	Photosystem I subunits 
ATCG00340	PsaB	"Plastid,thylakoids"	"[4Fe-4S] bridged between psaA and psaB, known as FX"	Photosystem I subunits 
ATCG01060	PsaC	"Plastid,thylakoids"	"2x[4Fe-4S] in psaC (FA,FB)"	Photosystem I subunits 
AT5G11770	PSST (20-kDa)	Mitochondria	[4Fe-4S]	NADH:ubiquinone oxidoreductase (Complex I); Fe-S binding proteins of peripheral arm 
AT4G25650	PTC52	Plastids	Rieske [2Fe-2S]b	Similar to ACD1. Leaves of antisense ACD1-like plants turn yellow in darkness like wild-type whereas antisense ACD1 plants remain dark after five days of dark treatment.
AT1G03190	RAD3 (UVH6)	Nucleus	[4Fe-4S]b	DNA repair helicase (XPD-like) 
AT1G67500	REV3	Nucleus	[4Fe-4S]b	Catalytic subunit of DNA polymerase zeta
AT5G13430	Rieske protein	Mitochondria	Rieske [2Fe-2S]	Rieske subunit of ubiquinol cytochrome c reductase (complex III); See also petC 
AT5G13440	Rieske protein	Mitochondria	Rieske [2Fe-2S]	Rieske subunit of ubiquinol cytochrome c reductase (complex III); See also petC 
AT1G60230	RlmN	Mitochondria (P)	[4Fe-4S]b	"Homologue of E.coli RlmN, involved in rRNA modification; radical SAM enzyme "
AT1G60620	RPAC43	Nucleus	[4Fe-4S]b	"RNA polymerase I and III, subunit D "
AT1G60850	RPAC42	Nucleus	[4Fe-4S]b	"RNA polymerase I and III, subunit D "
AT2G44270	ROL5/ Ncs6p	Cytosol	[3Fe-4S]	Catalyze the formation of 2-thiouridine (s2U)
AT3G27180	RUMA	Plastids	[4Fe-4S]b	putative plastid RNA methyltransferase; S-adenosyl-L-methionine-dependent methyltransferase superfamily protein
AT3G21300	RUMA(TRM2A)	Cytosol 	[4Fe-4S]b	"tRNA METHYLTRANSFERASE 2A, RNA methyltransferase family protein"
AT3G27380	SDH2-1	Mitochondria	"[2Fe-2S], [3Fe-4S], [4Fe-4S]"	Subunit of succinate dehydrogenase (complex II) 
AT5G40650	SDH2-2	Mitochondria	"[2Fe-2S], [3Fe-4S], [4Fe-4S]"	Subunit of succinate dehydrogenase (complex II) 
AT5G65165	SDH2-3	Mitochondria	"[2Fe-2S], [3Fe-4S], [4Fe-4S]"	Subunit of succinate dehydrogenase (complex II) 
AT5G04590	SIR1	Plastids	"[4Fe-4S], sirohaem"	"Sulfite reductase, _-subunit "
AT1G50170	SIRB	Plastids	[2Fe-2S]	Sirohydrochlorin ferrochelatase; last step of sirohaem biosynthesis 
AT4G04770	SUFB/NAP1*	Plastids	[4Fe-4S]b	"Other names: ABCI8, NAP1, LAF6; part of SUFBCD complex involved in Fe-S cluster assembly. "
AT5G50210	SUFE3-NADA*	Plastids	[4Fe-4S]	"Quinolinate synthase (NADA) required for NAD cofactor biosynthesis, with N-terminal SUFE domain. "
AT2G29630	THIC	Plastids	[4Fe-4S]	Thiamine biosynthesis; radical SAM enzyme 
AT2G24820	TIC55	Plastid	Rieske [2Fe-2S]	Protein associated with the translocon at the inner envelope membrane of chloroplasts 
AT1G76170	TtcA	Cytosol	[3Fe-4S]	homologue of ROL5    2-thiocytidine tRNA biosynthesis protein
AT1G75200	TYW1	Cytosol?	"[4Fe-4S]b, FMN"	Required for tRNA wybutosine modification in yeast; uncharacterized radical SAM enzyme in Arabidopsis 
AT4G34890	XDH1	Cytosol	"2x[2Fe-2S], FAD, Mococ"	Xanthine dehydrogenase; involved in purine catabolism 
AT4G34900	XDH2	Cytosol	"2x[2Fe-2S], FAD, Mococ"	Xanthine dehydrogenase; involved in purine catabolism 
