Ath_ID	description
AT5G48120	HOMOLOG OF YEAST MET18 
AT5G50930	HOMOLOG OF HUMAN MHF1 
AT5G61460	"HYPERSENSITIVE TO MMS, IRRADIATION AND MMC "
AT4G09140	MUTL-HOMOLOGUE 1 
AT1G52500	MUTM HOMOLOG-1 
AT1G23260	MMS ZWEI HOMOLOGUE 1 
AT2G36060	MMS ZWEI HOMOLOGUE 3 
AT4G29170	MND1DELTA HOMOLOG
AT4G36290	MICROCHIDIA 1
AT1G19100	MICROCHIDIA 6
AT5G54260	MEIOTIC RECOMBINATION 11
AT4G37280	MORF RELATED GENE 1 
AT3G24320	MUTL PROTEIN HOMOLOG 1 
AT3G18524	MUTS HOMOLOG 2 
AT4G25540	HOMOLOG OF DNA MISMATCH REPAIR PROTEIN MSH3 
AT4G17380	MUTS-LIKE PROTEIN 4 
AT3G20475	MUTS-HOMOLOGUE 5 
AT4G02070	MUTS HOMOLOG 6 
AT3G24495	MUTS HOMOLOG 7 
AT4G30870	MMS AND UV SENSITIVE 81 
AT2G19480	NUCLEOSOME ASSEMBLY PROTEIN 1;2 
AT3G02680	NIJMEGEN BREAKAGE SYNDROME 1 
AT1G18800	NAP1-RELATED PROTEIN 2 
AT5G21140	NON-SMC ELEMENT 1
AT1G34770	NON-SMC ELEMENT 3
AT1G51130	NON-SMC ELEMENT 4A
AT2G31450	DNA GLYCOSYLASE SUPERFAMILY PROTEIN
AT1G21710	8-OXOGUANINE-DNA GLYCOSYLASE 1 
AT2G31320	POLY(ADP-RIBOSE POLYMERASE 1)
AT4G02390	POLY(ADP-RIBOSE POLYMERASE 1)
AT5G22470	POLY(ADP-RIBOSE POLYMERASE 1)
AT2G29570	PROLIFERATING CELL NUCLEAR ANTIGEN 2 
AT1G29850	PROGRAMMED CELL DEATH PROTEIN 5 
AT5G47690	COHESION COFACTOR
AT1G77600	COHESION COFACTOR
AT4G27650	PELOTA 
AT1G12370	PHOTOLYASE 1 
AT2G47590	PHOTOLYASE/BLUE-LIGHT RECEPTOR 2 
AT3G51690	DNA HELICASE HOMOLOG
AT3G51700	DNA HELICASE HOMOLOG
AT4G02460	POSTMEIOTIC SEGREGATION 1 
AT1G10520	DNA POLYMERASE {LAMBDA} 
