AGI code	Annotation
AT2G39840	 serine/threonine protein phosphatase PP1 isozyme 4 (TOPP4) / phosphoprotein phosphatase 1 [Arabidopsis thaliana] 
AT3G05580	" serine/threonine protein phosphatase, putative [Arabidopsis thaliana] "
AT3G19980	 serine/threonine protein phosphatase (STPP) [Arabidopsis thaliana] 
AT3G46820	 serine/threonine protein phosphatase PP1 isozyme 5 (TOPP5) / phosphoprotein phosphatase 1 [Arabidopsis thaliana] 
AT4G03080	 kelch repeat-containing serine/threonine phosphoesterase family protein [Arabidopsis thaliana] 
AT4G26720	 serine/threonine protein phosphatase PP-X isozyme 1 (PPX1) [Arabidopsis thaliana] 
AT5G10900	 serine/threonine protein phosphatase [Arabidopsis thaliana] 
AT5G55260	 serine/threonine protein phosphatase [Arabidopsis thaliana] 
AT5G59160	 protein phosphatase 1A [Arabidopsis thaliana] 
AT1G18480	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT2G42500	 serine/threonine protein phosphatase PP2A-3 catalytic subunit (PP2A3) [Arabidopsis thaliana] 
AT2G42810	" serine/threonine protein phosphatase, putative [Arabidopsis thaliana] "
AT3G09960	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT3G09970	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT3G58500	 serine/threonine protein phosphatase PP2A-4 catalytic subunit (PP2A4) [Arabidopsis thaliana] 
AT4G11240	 serine/threonine protein phosphatase PP1 isozyme 6 (PP1BG) (TOPP6) [Arabidopsis thaliana] 
AT5G27840	 serine/threonine protein phosphatase type one(PP1) [Arabidopsis thaliana] 
AT5G43380	 serine/threonine protein phosphatase type on(TOPP7) [Arabidopsis thaliana] 
AT5G63870	 ser/thr protein phosphatase catalytic subunit [Arabidopsis thaliana] 
AT4G12740	 adenine-DNA glycosylase-related / MYH-related [Arabidopsis thaliana] 
AT1G05900	 endonuclease-related [Arabidopsis thaliana] 
AT2G22260	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G14160	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT2G28420	 lactoylglutathione lyase family protein / glyoxalase I family protein [Arabidopsis thaliana] 
AT1G11840	" lactoylglutathione lyase, putative / glyoxalase I, putative [Arabidopsis thaliana] "
AT1G67280	" lactoylglutathione lyase, putative / glyoxalase I, putative [Arabidopsis thaliana] "
AT5G57040	 expressed protein [Arabidopsis thaliana] 
AT1G15380	 lactoylglutathione lyase family protein / glyoxalase I family protein [Arabidopsis thaliana] 
AT1G80160	 lactoylglutathione lyase family protein / glyoxalase I family protein [Arabidopsis thaliana] 
AT2G32090	 lactoylglutathione lyase family protein / glyoxalase I family protein [Arabidopsis thaliana] 
AT1G08110	" lactoylglutathione lyase, putative / glyoxalase I, putative [Arabidopsis thaliana] "
AT2G39670	 radical SAM domain-containing protein [Arabidopsis thaliana] 
AT1G52160	 metallo-beta-lactamase family protein [Arabidopsis thaliana] 
AT1G61010	" cleavage and polyadenylation specificity factor, putative [Arabidopsis thaliana] "
AT2G01730	 metallo-beta-lactamase family protein [Arabidopsis thaliana] 
AT2G31350	" hydroxyacylglutathione hydrolase, putative / glyoxalase II, putative [Arabidopsis thaliana] "
AT3G10850	" hydroxyacylglutathione hydrolase, cytoplasmic / glyoxalase II (GLX2-2) [Arabidopsis thaliana] "
AT3G13800	 metallo-beta-lactamase family protein [Arabidopsis thaliana] 
AT4G33540	 metallo-beta-lactamase family protein [Arabidopsis thaliana] 
AT5G63420	 hydrolase family [Arabidopsis thaliana] 
AT1G06130	" hydroxyacylglutathione hydrolase, putative / glyoxalase II, putative [Arabidopsis thaliana] "
AT1G25375	 metallo-beta-lactamase family protein [Arabidopsis thaliana] 
AT1G53580	" hydroxyacylglutathione hydrolase, putative / glyoxalase II, putative [Arabidopsis thaliana] "
AT1G67550	" urease, putative / urea amidohydrolase, putative [Arabidopsis thaliana] "
AT4G22930	" dihydroorotase, mitochondrial / DHOase (PYR4) [Arabidopsis thaliana] "
AT3G55850	 amidohydrolase family protein [Arabidopsis thaliana] 
AT4G04955	 amidohydrolase family protein [Arabidopsis thaliana] 
AT5G12200	 dihydropyrimidinase [Arabidopsis thaliana] 
AT3G19630	 radical SAM domain-containing protein [Arabidopsis thaliana] 
AT1G72090	 radical SAM domain-containing protein / TRAM domain-containing protein [Arabidopsis thaliana] 
