AGI code	Annotation
AT3G23780	 DNA-directed RNA polymerase family protein [Arabidopsis thaliana] 
AT5G41190	 hypothetical protein [Arabidopsis thaliana] 
AT4G15093	 catalytic LigB subunit of aromatic ring-opening dioxygenase family [Arabidopsis thaliana] 
AT5G32470	 expressed protein [Arabidopsis thaliana] 
AT3G10920	" superoxide dismutase [Mn], mitochondrial (SODA) / manganese superoxide dismutase (MSD1) [Arabidopsis thaliana] "
AT3G56350	" superoxide dismutase [Mn], putative / manganese superoxide dismutase, putative [Arabidopsis thaliana] "
AT4G25100	" superoxide dismutase [Fe], chloroplast (SODB) / iron superoxide dismutase (FSD1) [Arabidopsis thaliana] "
AT5G23310	 iron superoxide dismutase (FSD3) [Arabidopsis thaliana] 
AT5G51100	" iron superoxide dismutase, putative [Arabidopsis thaliana] "
AT5G58200	 contains similarity to phosphoesterase [Arabidopsis thaliana] 
AT2G26400	 acireductone dioxygenase (ARD/ARD') family protein [Arabidopsis thaliana] 
AT4G14710	" iron-deficiency-responsive protein, putative [Arabidopsis thaliana] "
AT4G14716	" iron-deficiency-responsive protein, putative [Arabidopsis thaliana] "
AT5G43850	 expressed protein [Arabidopsis thaliana] 
AT1G30100	" 9-cis-epoxycarotenoid dioxygenase, putative / neoxanthin cleavage enzyme, putative / carotenoid cleavage dioxygenase, putative [Arabidopsis thaliana] "
AT1G78390	" 9-cis-epoxycarotenoid dioxygenase, putative / neoxanthin cleavage enzyme, putative / carotenoid cleavage dioxygenase, putative [Arabidopsis thaliana] "
AT2G44990	 dioxygenase-related [Arabidopsis thaliana] 
AT3G14440	" 9-cis-epoxycarotenoid dioxygenase, putative / neoxanthin cleavage enzyme, putative / carotenoid cleavage dioxygenase, putative [Arabidopsis thaliana] "
AT3G24220	" 9-cis-epoxycarotenoid dioxygenase, putative / neoxanthin cleavage enzyme, putative / carotenoid cleavage dioxygenase, putative [Arabidopsis thaliana] "
AT3G63520	 9-cis-epoxycarotenoid dioxygenase / neoxanthin cleavage enzyme / NCED1 / carotenoid cleavage dioxygenase 1 (CCD1) [Arabidopsis thaliana] 
AT4G18350	" 9-cis-epoxycarotenoid dioxygenase, putative / neoxanthin cleavage enzyme, putative / carotenoid cleavage dioxygenase, putative [Arabidopsis thaliana] "
AT4G19170	" 9-cis-epoxycarotenoid dioxygenase, putative / neoxanthin cleavage enzyme, putative / carotenoid cleavage dioxygenase, putative [Arabidopsis thaliana] "
AT4G32810	 dioxygenase-related [Arabidopsis thaliana] 
AT2G18540	 cupin family protein [Arabidopsis thaliana] 
AT3G22640	 cupin family protein [Arabidopsis thaliana] 
AT4G36700	 cupin family protein [Arabidopsis thaliana] 
AT3G16250	 ferredoxin-related [Arabidopsis thaliana] 
