"","gene","WFe_pH 5.5","LFe_pH 5.5","LFe_pH 7.5","WFe_pH 7.5","cluster","membership"
"1","AT1G01080",1.19881343356285,0.201818786604357,-1.22052290588578,-0.180109314281432,1,0.712829557523301
"2","AT1G01430",1.29867930374127,0.0396834520791491,-1.12538848908975,-0.21297426673067,1,0.53988750007307
"3","AT1G02280",1.13940108254783,0.100165099484557,-1.29929393203159,0.0597277499992095,1,0.537455689162041
"4","AT1G03230",1.42867862960904,-0.0455865266380849,-0.704339785053149,-0.678752317917806,1,0.310105147098391
"5","AT1G03457",0.983975260493413,0.0674885055643774,-1.38434994791205,0.332886181854261,1,0.32781992951436
"6","AT1G04030",0.934624006531302,0.130589704763186,-1.41069687667594,0.345483165381453,1,0.325318089160245
"7","AT1G04610",1.07066093471178,0.108540503290641,-1.3467817100245,0.167580272022075,1,0.448902982515631
"8","AT1G05220",1.26969640729083,-0.0269122288234018,-1.17586954960881,-0.0669146288586104,1,0.486685088839479
"9","AT1G05250",1.37222896711695,-0.154393297890162,-1.02819609111569,-0.189639578111103,1,0.368665232308904
"10","AT1G05420",0.815597821842949,0.539829712347915,-1.42764448871245,0.0722169545215847,1,0.370870532394148
"11","AT1G05620",1.31342185973326,0.034832902944822,-1.10121884385334,-0.247035918824744,1,0.520661297577794
"12","AT1G06002",1.33359619032544,-0.149265155855022,-1.09112499193839,-0.0932060425320264,1,0.371164431276317
"13","AT1G06080",1.07172409202031,-0.120262604540311,0.356226254984568,-1.30768774246457,1,0.160413473070584
"14","AT1G06120",1.03825470121134,0.0244095385913129,-1.35498365622012,0.29231941641747,1,0.34273559288797
"15","AT1G06923",0.645424926338389,0.454059896355211,-1.49123665915615,0.391751836462551,1,0.255337556323369
"16","AT1G07175",1.09453059383156,0.342127373725698,-1.28971264710889,-0.146945320448362,1,0.68820256285481
"17","AT1G07620",0.92160230591409,0.743130085980771,-1.15851025670284,-0.506222135192023,1,0.331629902356972
"18","AT1G07720",1.38376167990098,0.0653667465450605,-0.848951116707172,-0.600177309738866,1,0.367954013861721
"19","AT1G07750",0.764981335134935,0.237489386559422,-1.46454439076427,0.462073669069907,1,0.259252677249062
"20","AT1G08210",0.950850877169234,0.514507723255716,-1.34811674552151,-0.117241854903438,1,0.494610076120789
"21","AT1G09860",0.96492308929941,0.601971348512695,-1.27282173687947,-0.294072700932633,1,0.44870445145836
"22","AT1G10090",0.848749124302813,0.391127845022407,-1.44395198070251,0.204075011377288,1,0.370703680475233
"23","AT1G10330",0.825215300711445,0.723760967629457,-1.32016479175539,-0.228811476585514,1,0.336995218832769
"24","AT1G10660",1.05923680346019,0.208840495374938,-1.35181055739965,0.0837332585645254,1,0.536294470744143
"25","AT1G11530",1.08131641078794,0.458395112970435,-1.23637100920147,-0.303340514556901,1,0.576408505680119
"26","AT1G11670",0.91233827631055,0.662167466162968,-1.28204522657027,-0.292460515903247,1,0.396350205925397
"27","AT1G12750",1.19793687259502,0.120784236096525,-1.24281823761574,-0.0759028710758063,1,0.642919295178079
